scenario_id,scenario_suite,scenario_group,pv_year,demand_year,price_year,ssr_target,ssr_target_pct,mip_gap_used,grid_to_bess_charging_allowed,bo_tac_eur,bo_bess_kwh,bo_achieved_ssr,bo_solver_status,bo_solve_elapsed_s,bo_best_bound_eur,bo_achieved_relative_gap,hyb_tac_eur,hyb_bess_kwh,hyb_ely_kw,hyb_fc_kw,hyb_tank_kg,hyb_h2_installed,hyb_achieved_ssr,hyb_solver_status,hyb_solve_elapsed_s,hyb_best_bound_eur,hyb_achieved_relative_gap,tac_delta_eur,tac_saving_pct
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.76,76,0.0001,False,4936.221376289903,116.32626388084137,0.7600000000000002,optimal,8.921099185943604,4936.221376289903,0.0,4672.306604562298,83.41318955815815,4.100425605176911,1.3110671051675395,3.888862692028003,True,0.7600000000000003,optimal,27.67387318611145,4671.87500893883,9.237313815133716e-05,263.9147717276046,5.3464938382882
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.77,77,0.0001,False,5664.052586932644,133.98138947300876,0.7700000000000002,optimal,9.067471981048584,5664.052586932644,0.0,5161.2317689347,85.50471090494148,5.884648555140622,1.5707613357031047,5.82084435091814,True,0.7700000000000002,optimal,28.25130867958069,5160.721628809633,9.884077055720764e-05,502.8208179979438,8.877403771956246
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.78,78,0.0001,False,6528.739801375231,154.4965946258039,0.7800000000000002,optimal,9.06977367401123,6528.73980137523,0.0,5704.9933232770345,91.31823649379976,7.206065999808995,1.922159407504313,7.163289278996604,True,0.78,optimal,28.68967056274414,5704.439989280001,9.6991173464626e-05,823.7464780981963,12.61723553333647
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.79,79,0.0001,False,7500.129981692555,177.15565424993792,0.7900000000000007,optimal,8.553919076919556,7500.129981692555,0.0,6312.392886211933,95.19840271854363,8.767855329999996,2.679263488279468,9.386808096415612,True,0.7899999999999999,optimal,28.057610988616943,6311.767914989372,9.90070221905756e-05,1187.737095480622,15.83622015058178
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.8,80,0.0001,False,8686.659380755726,204.4585495311842,0.8000000000000008,optimal,9.400002002716064,8686.659380755727,0.0,6994.059160613826,104.13975511825129,9.940739668792274,3.26,10.909378973394764,True,0.8000000000000003,optimal,28.56064462661743,6993.3993341389305,9.434099136765864e-05,1692.6002201418996,19.485053412957075
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.81,81,0.0001,False,9951.61466048339,233.2708078805645,0.8100000000000009,optimal,9.080291748046877,9951.61466048339,0.0,7741.513857309732,110.20601535736463,11.628657211781814,3.2781931957125785,15.47978719117326,True,0.8099999999999999,optimal,29.779617309570312,7740.885180542858,8.12085050111581e-05,2210.1008031736583,22.208464440948365
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.82,82,0.0001,False,11297.809694480971,263.6579010265051,0.8200000000000003,optimal,8.928073167800903,11297.809694480977,0.0,8589.001520313719,124.0023967425178,12.92860918429114,3.1562373461644486,17.383253032279743,True,0.8199999999999998,optimal,33.714595556259155,8588.358654762875,7.484753021897971e-05,2708.808174167254,23.97640115579676
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.83,83,0.0001,False,12958.792078206208,300.6888281119939,0.8300000000000001,optimal,9.069858312606812,12958.79207820621,0.0,9583.6086185695,142.2951354896123,13.829857583116722,3.66,17.890581277712116,True,0.8299999999999998,optimal,35.59641766548157,9582.985001903307,6.507117423208872e-05,3375.18345963671,26.045509791865666
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.84,84,0.0001,False,15039.04605215157,346.3689077254777,0.84,optimal,8.9173104763031,15039.04605215157,0.0,10748.4255569836,163.55570231483736,14.333182770821145,4.091515871517078,20.212676530434816,True,0.84,optimal,29.547693490982056,10747.640311514948,7.305678999120459e-05,4290.62049516797,28.529871378072748
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.85,85,0.0001,False,17464.51984657778,399.0525731680981,0.8499999999999999,optimal,9.012333393096924,17464.519846577776,0.0,12086.668212766444,179.86626375246254,16.674910303652872,4.788682703684127,23.81070736797987,True,0.849999999988417,optimal,33.20390057563782,12086.124365174392,4.499565823081974e-05,5377.851633811335,30.79301166625053
